Day,Date,Confirmed
236,24-10-2020,182570
237,25-10-2020,184422
238,26-10-2020,186243
239,27-10-2020,188048
240,28-10-2020,189844
241,29-10-2020,191629
242,30-10-2020,193419
243,31-10-2020,195213
244,01-11-2020,196993
245,02-11-2020,198747
246,03-11-2020,200495
247,04-11-2020,202220
248,05-11-2020,203990
249,06-11-2020,205800
250,07-11-2020,207597
251,08-11-2020,209438
252,09-11-2020,211310
253,10-11-2020,213169
254,11-11-2020,215071
255,12-11-2020,217151
256,13-11-2020,219327
257,14-11-2020,221471
258,15-11-2020,223633
259,16-11-2020,225817
260,17-11-2020,227986
261,18-11-2020,230180
262,19-11-2020,232358
263,20-11-2020,234907
264,21-11-2020,237669
265,22-11-2020,240676
266,23-11-2020,243936
267,24-11-2020,247168
268,25-11-2020,250482
269,26-11-2020,253767
270,27-11-2020,256947
271,28-11-2020,260040
272,29-11-2020,262805
273,30-11-2020,265386
274,01-12-2020,268063
275,02-12-2020,270410
276,03-12-2020,272400
277,04-12-2020,274486
278,05-12-2020,276420
279,06-12-2020,278496
280,07-12-2020,280585
281,08-12-2020,282512
282,09-12-2020,284116
283,10-12-2020,285627
284,11-12-2020,287219
285,12-12-2020,288692
286,13-12-2020,289999
287,14-12-2020,291289
288,15-12-2020,292539
289,16-12-2020,293584
290,17-12-2020,294831
291,18-12-2020,295953
292,19-12-2020,297029
293,20-12-2020,298018
294,21-12-2020,301580
295,22-12-2020,299909
296,23-12-2020,300716
297,24-12-2020,301708
298,25-12-2020,302709
299,26-12-2020,303732
300,27-12-2020,304517
301,28-12-2020,305360
302,29-12-2020,306158
303,30-12-2020,306784
304,31-12-2020,307554
305,01-01-2021,308243
306,02-01-2021,308852
307,03-01-2021,309319
308,04-01-2021,309821
309,05-01-2021,310278
310,06-01-2021,310675
311,07-01-2021,311111
312,08-01-2021,311620
313,09-01-2021,312091
314,10-01-2021,312521
315,11-01-2021,312996
316,12-01-2021,313425
317,13-01-2021,313718
318,14-01-2021,314091
319,15-01-2021,314372
320,16-01-2021,314682
321,17-01-2021,314920
322,18-01-2021,315181
323,19-01-2021,315394
324,20-01-2021,315603
325,21-01-2021,315816
326,22-01-2021,316081
327,23-01-2021,316282
328,24-01-2021,316485
329,25-01-2021,316652
330,26-01-2021,316845
331,27-01-2021,316970
332,28-01-2021,317104
333,29-01-2021,317189
334,30-01-2021,317292
335,31-01-2021,317396
336,01-02-2021,317491
337,02-02-2021,317587
338,03-02-2021,317674
339,04-02-2021,317766
340,05-02-2021,317905
341,06-02-2021,318021
342,07-02-2021,318118
343,08-02-2021,318193
344,09-02-2021,318294
345,10-02-2021,318384
346,11-02-2021,318491
347,12-02-2021,318602
